CODIGO,ENTIDAD,NOMBRE FANTASIA,DIRECCION,COMUNA,HORARIO REFERENCIAL,ESTE,NORTE,LONGITUD,LATITUD
390,WALMART,LIDER HIPER BUIN BERNARDO OHIGGINS,AV. LIBERTADOR BERNARDO O'HIGGINS 555,BUIN,"Lun-Sáb 08:00-22:00
Dom y Fest 08:30-22:00",338028,6265988,-70.748957608,-33.734063853
392,WALMART,LIDER EXPRESS JOSÉ D. CAÑAS,AV. JOSE DOMINGO CANAS 1580,ÑUÑOA,Lun-Dom 08:30-22:30,349928,6297028,-70.6153184659836,-33.4559707634447
393,WALMART,LIDER HIPER MAIPÚ,AV. LAS INDUSTRIAS 15560,MAIPU,"Lun-Sáb 08:30-22:00
Dom 09:30-21:30
Fest. 08:30-22:00",335839,6287314,-70.768076,-33.541184
394,WALMART,LIDER EXPRESS SAN PABLO,SAN PABLO 9091,PUDAHUEL,Lun-Dom 08:30-22:30,336169,6298354,-70.762498,-33.441714
396,WALMART,LIDER EXPRESS LAGUNA SUR,AV. LAGUNA SUR 7383,PUDAHUEL,Lun-Dom 08:30-22:30,337990,6296179,-70.743316,-33.461598
397,WALMART,LIDER HIPER PEÑAFLOR,AV. BALMACEDA 750,PEÑAFLOR,"Lun -Jue 08:30-22:00
Vie-Sáb 08:00-22:30
Dom 09:00-22:00 
Fest 08:00-22:00",327785,6279686,-70.856250,-33.608683
398,WALMART,SBA CURACAVI,AV. AMBROSIO O'HIGGINS 2110,CURACAVI,Lun-Dom 09:00-21:30,302289,6302132,-71.126518,-33.402229
399,WALMART,LIDER EXPRESS CIUDAD DE LOS VALLES,CAMINO APACIBLE 635,PUDAHUEL,Lun-Dom 08:30-22:30,328693,6297521,-70.843050,-33.448053
400,WALMART,LIDER EXPRESS ISABEL LA CATOLICA,ISABEL LA CATOLICA 4394,LAS CONDES,Lun-Dom 08:30-22:30,353342,6300382,-70.577487,-33.425910
401,WALMART,LIDER EXPRESS QUILICURA LO CAMPINO 2,AV. AMÉRICO VESPUCIO 1641,QUILICURA,Lun-Dom 08:30-22:30,340468,6305886,-70.714935,-33.374448
403,WALMART,ACUENTA MELIPILLA,MERCED 999,MELIPILLA,Lun-Dom 09:00-21:30,294203,6270633,-71.220657,-33.684597
404,WALMART,LIDER EXPRESS PIE ANDINO,AV. PASEO PIE ANDINO 5800,LO BARNECHEA,Lun-Dom 09:00-21:30,356753,6311695,-70.539012,-33.324370
